[2025-07-03 16:12:13] High Memory usage: 113.11MB | PID: 16196 | Name: Copilot.exe | Path: C:\Program Files\WindowsApps\Microsoft.Copilot_1.25062.106.0_x64__8wekyb3d8bbwe\Copilot.exe | CPU: 0.00% | Memory: 113.11MB | Parent: sihost.exe
[2025-07-03 16:12:13] High Memory usage: 107.84MB | PID: 16268 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 107.84MB | Parent: Code.exe
[2025-07-03 16:12:14] High Memory usage: 100.65MB | PID: 16888 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 100.65MB | Parent: Code.exe
[2025-07-03 16:12:14] High Memory usage: 186.14MB | PID: 17784 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 186.14MB | Parent: Code.exe
[2025-07-03 16:12:15] High Memory usage: 242.01MB | PID: 4000 | Name: MemCompression | Path: MemCompression | CPU: 0.00% | Memory: 242.01MB | Parent: System
[2025-07-03 16:12:16] High Memory usage: 227.55MB | PID: 4344 | Name: TextInputHost.exe | Path: C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe | CPU: 0.00% | Memory: 227.55MB | Parent: svchost.exe
[2025-07-03 16:12:17] High CPU usage: 731.90% | PID: 0 | Name: System Idle Process | Path: Access Denied | CPU: 731.90% | Memory: 0.01MB | Parent: Unknown
[2025-07-03 16:12:19] High Memory usage: 226.58MB | PID: 5204 | Name: MsMpEng.exe | Path: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25050.5-0\MsMpEng.exe | CPU: 0.00% | Memory: 226.58MB | Parent: services.exe
[2025-07-03 16:12:25] High Memory usage: 242.07MB | PID: 4000 | Name: MemCompression | Path: MemCompression | CPU: 0.00% | Memory: 242.07MB | Parent: System
[2025-07-03 16:12:26] High Memory usage: 227.53MB | PID: 4344 | Name: TextInputHost.exe | Path: C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe | CPU: 0.00% | Memory: 227.53MB | Parent: svchost.exe
[2025-07-03 16:12:26] High Memory usage: 103.68MB | PID: 5508 | Name: SearchHost.exe | Path: C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe | CPU: 0.00% | Memory: 103.68MB | Parent: svchost.exe
[2025-07-03 16:12:27] High Memory usage: 140.24MB | PID: 6672 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 140.24MB | Parent: explorer.exe
[2025-07-03 16:12:28] Suspicious parent-child chain: cmd.exe -> python.exe | PID: 7008 | Name: python.exe | Path: C:\Users\syeda\AppData\Local\Programs\Python\Python313\python.exe | CPU: 0.00% | Memory: 35.00MB | Parent: cmd.exe
[2025-07-03 16:12:28] High Memory usage: 388.01MB | PID: 7188 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 15.60% | Memory: 388.01MB | Parent: chrome.exe
[2025-07-03 16:12:28] High Memory usage: 230.13MB | PID: 5204 | Name: MsMpEng.exe | Path: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25050.5-0\MsMpEng.exe | CPU: 0.00% | Memory: 230.13MB | Parent: services.exe
[2025-07-03 16:12:29] High Memory usage: 115.29MB | PID: 7924 | Name: ChatGPT.exe | Path: C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.153.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe | CPU: 0.00% | Memory: 115.29MB | Parent: explorer.exe
[2025-07-03 16:12:29] High Memory usage: 103.68MB | PID: 5508 | Name: SearchHost.exe | Path: C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe | CPU: 0.00% | Memory: 103.68MB | Parent: svchost.exe
[2025-07-03 16:12:29] High Memory usage: 307.84MB | PID: 8080 | Name: explorer.exe | Path: C:\Windows\explorer.exe | CPU: 0.00% | Memory: 307.84MB | Parent: Zombie
[2025-07-03 16:12:30] High Memory usage: 140.25MB | PID: 6672 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 140.25MB | Parent: explorer.exe
[2025-07-03 16:12:30] Suspicious parent-child chain: cmd.exe -> python.exe | PID: 7008 | Name: python.exe | Path: C:\Users\syeda\AppData\Local\Programs\Python\Python313\python.exe | CPU: 0.00% | Memory: 35.00MB | Parent: cmd.exe
[2025-07-03 16:12:31] High Memory usage: 130.75MB | PID: 8928 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 0.00% | Memory: 130.75MB | Parent: chrome.exe
[2025-07-03 16:12:31] High CPU usage: 217.20% | PID: 7188 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 217.20% | Memory: 407.04MB | Parent: chrome.exe
[2025-07-03 16:12:31] High Memory usage: 407.04MB | PID: 7188 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 217.20% | Memory: 407.04MB | Parent: chrome.exe
[2025-07-03 16:12:32] High Memory usage: 114.54MB | PID: 10096 | Name: msedgewebview2.exe | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\137.0.3296.93\msedgewebview2.exe | CPU: 0.00% | Memory: 114.54MB | Parent: msedgewebview2.exe
[2025-07-03 16:12:32] High Memory usage: 115.32MB | PID: 7924 | Name: ChatGPT.exe | Path: C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.153.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe | CPU: 0.00% | Memory: 115.32MB | Parent: explorer.exe
[2025-07-03 16:12:32] High Memory usage: 307.84MB | PID: 8080 | Name: explorer.exe | Path: C:\Windows\explorer.exe | CPU: 0.00% | Memory: 307.84MB | Parent: Zombie
[2025-07-03 16:12:33] High Memory usage: 120.58MB | PID: 11216 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 120.58MB | Parent: Code.exe
[2025-07-03 16:12:33] High CPU usage: 93.20% | PID: 11776 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 93.20% | Memory: 107.60MB | Parent: Code.exe
[2025-07-03 16:12:33] High Memory usage: 107.60MB | PID: 11776 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 93.20% | Memory: 107.60MB | Parent: Code.exe
[2025-07-03 16:12:33] High CPU usage: 31.10% | PID: 11940 | Name: ChatGPT.exe | Path: C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.153.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe | CPU: 31.10% | Memory: 319.05MB | Parent: ChatGPT.exe
[2025-07-03 16:12:33] High Memory usage: 319.05MB | PID: 11940 | Name: ChatGPT.exe | Path: C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.153.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe | CPU: 31.10% | Memory: 319.05MB | Parent: ChatGPT.exe
[2025-07-03 16:12:33] High Memory usage: 131.38MB | PID: 8928 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 0.00% | Memory: 131.38MB | Parent: chrome.exe
[2025-07-03 16:12:34] High Memory usage: 218.16MB | PID: 12328 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 218.16MB | Parent: Code.exe
